Date,Battery Voltage,Temperature (C) at 10 cm,VWC (%) at 10 cm,VWC (%) at 55 cm,Node
1720,54.12,12.38,34.7,20.5,Node1
1721,64.15,12.31,35.4,20.9,Node1
1722,14.15,12.31,35.4,21.1,Node1
1723,14.14,12.31,35.4,21.2,Node1
1724,14.14,12.19,35.3,21.2,Node1
1725,14.15,12.06,35.3,21.4,Node1
1726,24.14,12.06,35.4,21.4,Node1
1727,24.13,12,35.3,21.5,Node1
1728,24.13,11.56,35.3,21.5,Node1
1729,24.12,11.5,35.3,21.5,Node1
1729,34.11,11.5,35.3,21.7,NODE1
1720,34.14,11.38,35.1,21.7,Node1
1721,4.15,11.13,35.1,21.7,Node1
1725,4.14,11.13,35.3,21.7,Node1
1725,4.13,11.19,35.3,21.8,Node1
1725,4.13,11.13,35.1,21.8,Node1
1725,4.14,10.94,35.1,21.8,Node1
1725,4.13,11,35.3,21.8,Node1
1725,4.12,11.06,35.1,22,Node1
1725,4.13,11,35.1,22,Node1
